Team,Att,Rush Yds,YPC,TD,20+,Rush 1st,Rush 1st%,Rush FUM
Ravens,383,1361,3.6,12,3,69,18,5
Vikings,392,1588,4,12,5,83,21.2,5
Broncos,424,1639,3.9,10,11,82,19.3,7
Buccaneers,389,1663,4.3,13,9,94,24.2,10
Lions,369,1672,4.5,18,9,86,23.3,7
Steelers,412,1678,4.1,14,10,108,26.2,6
Packers,426,1689,4,13,9,104,24.4,6
Chiefs,418,1731,4.1,13,8,112,26.8,4
Dolphins,405,1763,4.4,12,10,97,24,5
Eagles,416,1771,4.3,9,6,108,26,15
Texans,447,1938,4.3,11,13,107,23.9,8
Bills,435,1963,4.5,13,11,109,25.1,11
Raiders,454,1987,4.4,14,15,102,22.5,4
Chargers,426,1997,4.7,7,13,108,25.4,6
Falcons,458,2051,4.5,11,8,131,28.6,9
Seahawks,451,2053,4.6,11,10,107,23.7,10
Jets,504,2059,4.1,22,7,129,25.6,7
49ers,476,2118,4.4,24,11,118,24.8,8
Bengals,479,2122,4.4,20,10,137,28.6,9
Cardinals,465,2149,4.6,18,12,124,26.7,7
Browns,488,2205,4.5,22,22,108,22.1,6
Rams,477,2210,4.6,13,9,117,24.5,3
Patriots,507,2233,4.4,16,10,127,25,11
Colts,531,2241,4.2,18,11,127,23.9,7
Jaguars,511,2254,4.4,19,12,137,26.8,3
Titans,503,2277,4.5,21,18,118,23.5,5
Giants,503,2316,4.6,18,19,129,25.6,9
Bears,485,2317,4.8,20,12,129,26.6,5
Cowboys,482,2331,4.8,25,12,141,29.2,3
Commanders,490,2337,4.8,18,14,122,24.9,9
Saints,489,2404,4.9,20,18,133,27.2,5
Panthers,592,3057,5.2,24,15,179,30.2,6
