Player,Team,G,Cmp,Att,Yds,TD,Int,Y/A,PassRtg,QBR
Justin Herbert,LAC,9,201,296,2140,16,7,7.2,97,68.6
Patrick Mahomes,KC,7,189,282,2099,17,4,7.4,103.1,76.6
Dak Prescott,DAL,9,204,290,2069,16,5,7.1,101.6,79.5
Daniel Jones,IND,8,173,243,2062,13,3,8.5,109.5,79.2
Drake Maye,NE,9,170,226,2026,15,3,9,118.7,76
Baker Mayfield,TB,6,172,269,1919,13,2,7.1,98.1,61.1
Matthew Stafford,LAR,8,160,242,1866,17,2,7.7,109.3,65.8
Bo Nix,DEN,8,179,285,1803,15,5,6.3,91,58.7
Jordan Love,GB,10,151,213,1798,13,2,8.4,112.8,73.5
Tua Tagovailoa,MIA,8,184,271,1779,15,11,6.6,87.6,43.6
Sam Darnold,SEA,8,131,192,1754,12,4,9.1,109.2,72.2
Jalen Hurts,PHI,5,151,215,1677,15,1,7.8,114.4,67.1
Caleb Williams,CHI,5,138,223,1636,9,4,7.3,90.2,53.4
Jared Goff,DET,8,152,203,1631,15,3,8,116.4,67.3
C.J. Stroud,HOU,8,155,232,1623,11,5,7,93.7,63.4
Trevor Lawrence,JAX,8,152,259,1620,9,5,6.3,80.6,41.9
Cam Ward,TEN,5,158,274,1615,5,6,5.9,71.7,25.7
Joe Flacco,CIN,9,174,286,1599,9,6,5.6,77.8,
Mac Jones,SF,8,149,226,1597,8,5,7.1,89,59
Spencer Rattler,NO,5,174,256,1586,8,5,6.2,86.8,50.9
Josh Allen,BUF,2,134,197,1560,12,4,7.9,103.6,62.4
Aaron Rodgers,PIT,9,142,208,1489,16,5,7.2,104.4,52.1
Geno Smith,LV,9,133,202,1417,7,10,7,77.1,34.4
Michael Penix Jr.,ATL,3,119,195,1409,5,3,7.2,85.2,49.1
Bryce Young,CAR,8,138,224,1288,11,5,5.8,84.4,44.9
Carson Wentz,MIN,7,110,169,1216,6,5,7.2,85.8,39.4
Justin Fields,NYJ,3,107,167,1089,5,0,6.5,92.6,37.7
Lamar Jackson,BAL,7,86,118,1073,14,1,9.1,136.7,79.2
Jayden Daniels,WAS,5,89,146,1031,8,1,7.1,97.7,50.9
Jaxson Dart,NYG,5,85,142,984,8,3,6.9,90.8,61.4
Kyler Murray,ARI,9,110,161,962,6,3,6,88.6,44.1
Russell Wilson,NYG,8,66,112,786,3,3,7,78.2,31.3
Jake Browning,CIN,9,80,124,757,6,8,6.1,70.5,33.5
Dillon Gabriel,CLE,4,85,142,702,5,2,4.9,78.4,25.5
Marcus Mariota,WAS,6,56,88,639,4,4,7.3,81.6,60
Jacoby Brissett,ARI,2,52,81,599,4,1,7.4,97.7,50.1
Brock Purdy,SF,8,48,73,586,4,4,8,85.8,67.2
Tyrod Taylor,NYJ,8,43,69,379,3,3,5.5,73.3,40
Cooper Rush,BAL,8,34,52,303,0,4,5.8,48.8,29.4
J.J. McCarthy,MIN,3,24,41,301,2,3,7.3,67.2,21.6
Andy Dalton,CAR,1,25,37,293,1,1,7.9,89.1,11.5
Tyler Huntley,BAL,,27,37,254,1,0,6.9,100.5,85.2
Kirk Cousins,ATL,,26,38,202,0,0,5.3,81.2,30.8
Joe Burrow,CIN,,21,36,189,2,0,5.3,91.1,57.7
