RK,Name,Team,POS,GP,REC,TGTS,YDS,AVG,TD
1,Ja'Marr ChaseCIN,,WR,17,127,175,"1,708",13.4,17
2,Justin JeffersonMIN,,WR,17,103,154,"1,533",14.9,10
3,Brian Thomas Jr.JAX,,WR,17,87,133,"1,282",14.7,10
4,Drake LondonATL,,WR,17,100,158,"1,271",12.7,9
5,Amon-Ra St. BrownDET,,WR,17,115,141,"1,263",11,12
6,Jerry JeudyCLE,,WR,17,90,145,"1,229",13.7,4
7,Malik NabersNYG,,WR,15,109,170,"1,204",11,7
8,CeeDee LambDAL,,WR,15,101,152,"1,194",11.8,6
8,Brock BowersLV,,TE,17,112,153,"1,194",10.7,5
10,Ladd McConkeyLAC,,WR,16,82,112,"1,149",14,7
11,Trey McBrideARI,,TE,16,111,147,"1,146",10.3,2
12,Jaxon Smith-NjigbaSEA,,WR,17,100,137,"1,130",11.3,6
13,George KittleSF,,TE,15,78,94,"1,106",14.2,8
14,Garrett WilsonNYJ,,WR,17,101,154,"1,104",10.9,7
15,Terry McLaurinWSH,,WR,17,82,117,"1,096",13.4,13
16,Courtland SuttonDEN,,WR,17,81,135,"1,081",13.3,8
17,A.J. BrownPHI,,WR,13,67,97,"1,079",16.1,7
18,Davante AdamsNYJ,,WR,14,85,141,"1,063",12.5,8
19,Zay FlowersBAL,,WR,17,74,116,"1,059",14.3,4
20,Jakobi MeyersLV,,WR,15,87,129,"1,027",11.8,4
21,Calvin RidleyTEN,,WR,17,64,120,"1,017",15.9,4
22,Nico CollinsHOU,,WR,12,68,99,"1,006",14.8,7
23,Mike EvansTB,,WR,14,74,110,"1,004",13.6,11
24,Jameson WilliamsDET,,WR,15,58,91,"1,001",17.3,7
25,Darnell MooneyATL,,WR,16,64,106,992,15.5,5
25,DK MetcalfSEA,,WR,15,66,108,992,15,5
27,Puka NacuaLAR,,WR,11,79,106,990,12.5,3
28,Jauan JenningsSF,,WR,15,77,113,975,12.7,6
29,DJ MooreCHI,,WR,17,98,140,966,9.9,6
30,Tyreek HillMIA,,WR,17,81,123,959,11.8,6
31,Tee HigginsCIN,,WR,12,73,109,911,12.5,10
32,George PickensPIT,,WR,14,59,103,900,15.3,3
33,Marvin Harrison Jr.ARI,,WR,17,62,116,885,14.3,8
34,Jonnu SmithMIA,,TE,17,88,111,884,10,8
35,Jordan AddisonMIN,,WR,15,63,99,875,13.9,9
36,Jayden ReedGB,,WR,17,55,75,857,15.6,6
37,DeVonta SmithPHI,,WR,13,68,89,833,12.3,8
38,Alec PierceIND,,WR,16,37,69,824,22.3,7
39,Travis KelceKC,,TE,16,97,133,823,8.5,3
40,Khalil ShakirBUF,,WR,15,76,100,821,10.8,4
41,Michael Pittman Jr.IND,,WR,16,69,111,808,11.7,3
42,Josh DownsIND,,WR,14,72,107,803,11.2,5
43,Rashod BatemanBAL,,WR,17,45,72,756,16.8,9
44,Keenan AllenCHI,,WR,15,70,121,744,10.6,7
44,Jaylen WaddleMIA,,WR,15,58,83,744,12.8,2
46,Rome OdunzeCHI,,WR,17,54,101,734,13.6,3
47,Sam LaPortaDET,,TE,16,60,83,726,12.1,7
48,Quentin JohnstonLAC,,WR,15,55,91,711,12.9,8
49,Cooper KuppLAR,,WR,12,67,100,710,10.6,6
50,Tucker KraftGB,,TE,17,50,70,707,14.1,7
51,Wan'Dale RobinsonNYG,,WR,17,93,140,699,7.5,3
52,Ray-Ray McCloud IIIATL,,WR,17,62,87,686,11.1,1
53,Hunter HenryNE,,TE,16,66,97,674,10.2,2
54,Mark AndrewsBAL,,TE,17,55,69,673,12.2,11
55,Deebo SamuelSF,,WR,15,51,81,670,13.1,3
56,Tank DellHOU,,WR,14,51,81,667,13.1,3
57,Mike GesickiCIN,,TE,17,65,83,665,10.2,2
58,Zach ErtzWSH,,TE,17,66,91,654,9.9,7
59,Pat FreiermuthPIT,,TE,17,65,78,653,10,7
60,Xavier WorthyKC,,WR,17,59,98,638,10.8,6
61,DeMario DouglasNE,,WR,17,66,87,621,9.4,3
62,Christian WatsonGB,,WR,15,29,53,620,21.4,2
63,Adam ThielenCAR,,WR,10,48,62,615,12.8,5
64,DeAndre HopkinsTEN,,WR,16,56,80,610,10.9,5
64,Jalen TolbertDAL,,WR,17,49,79,610,12.4,7
66,Kyle Pitts Sr.ATL,,TE,17,47,74,602,12.8,4
67,Romeo DoubsGB,,WR,13,46,72,601,13.1,4
68,Tyler LockettSEA,,WR,17,49,74,600,12.2,2
68,Cade OttonTB,,TE,14,59,87,600,10.2,4
70,De'Von AchaneMIA,,RB,17,78,87,592,7.6,6
71,Kayshon BoutteNE,,WR,15,43,68,589,13.7,3
72,Joshua PalmerLAC,,WR,15,39,65,584,15,1
73,Chris Godwin Jr.TB,,WR,7,50,62,576,11.5,5
74,Darius SlaytonNYG,,WR,16,39,71,573,14.7,2
75,Tutu AtwellLAR,,WR,17,42,62,562,13.4,0
76,Keon ColemanBUF,,WR,13,29,57,556,19.2,4
77,Juwan JohnsonNO,,TE,17,50,66,548,11,3
77,Calvin Austin IIIPIT,,WR,17,36,58,548,15.2,4
77,Michael WilsonARI,,WR,16,47,71,548,11.7,4
80,Amari CooperCLE,,WR,14,44,85,547,12.4,4
81,Alvin KamaraNO,,RB,14,68,89,543,8,2
82,Tre TuckerLV,,WR,17,47,81,539,11.5,3
83,Elijah MooreCLE,,WR,17,61,102,538,8.8,1
84,Dalton SchultzHOU,,TE,17,53,85,532,10,2
85,Allen LazardNYJ,,WR,12,37,60,530,14.3,6
86,Jahmyr GibbsDET,,RB,17,52,63,517,9.9,4
87,Olamide ZaccheausWSH,,WR,17,45,64,506,11.2,3
88,Demarcus RobinsonLAR,,WR,17,31,64,505,16.3,7
88,David NjokuCLE,,TE,11,64,97,505,7.9,5
90,Marvin Mims Jr.DEN,,WR,17,39,52,503,12.9,6
91,Noah FantSEA,,TE,14,48,64,500,10.4,1
92,Nick Westbrook-IkhineTEN,,WR,17,32,60,497,15.5,9
92,Xavier LegetteCAR,,WR,16,49,84,497,10.1,4
94,Stefon DiggsHOU,,WR,8,47,64,496,10.6,3
94,Dallas GoedertPHI,,TE,10,42,52,496,11.8,2
96,Jake FergusonDAL,,TE,14,59,86,494,8.4,0
97,Breece HallNYJ,,RB,16,57,76,483,8.5,3
98,Will DisslyLAC,,TE,15,50,64,481,9.6,2
99,Chig OkonkwoTEN,,TE,17,52,70,479,9.2,2
99,Andrei IosivasCIN,,WR,17,36,61,479,13.3,6
