Player,Team,Pos,Tgt,Rec,Yds,TD
De'Von Achane,MIA,RB,87,78,592,6
Alvin Kamara,NO,RB,89,68,543,2
Bijan Robinson,ATL,RB,72,61,431,1
Breece Hall,NYJ,RB,76,57,483,3
Chase Brown,CIN,RB,65,54,360,4
Jahmyr Gibbs,DET,RB,63,52,517,4
Javonte Williams,DEN,RB,70,52,346,0
Aaron Jones,MIN,RB,62,51,408,2
Rachaad White,TB,RB,57,51,393,6
James Conner,ARI,RB,55,47,414,1
Bucky Irving,TB,RB,52,47,392,0
Kenneth Walker III,SEA,RB,53,46,299,1
Chuba Hubbard,CAR,RB,54,43,171,1
Zach Charbonnet,SEA,RB,52,42,340,1
Justice Hill,BAL,RB,51,42,383,3
D'Andre Swift,CHI,RB,52,42,386,0
Tony Pollard,TEN,RB,57,41,238,0
Ameer Abdullah,LV,RB,47,40,261,3
Rico Dowdle,DAL,RB,49,39,249,3
Travis Etienne,JAX,RB,52,39,254,0
Tyrone Tracy Jr.,NYG,RB,53,38,284,1
Jaylen Warren,PIT,RB,47,38,310,0
Jerome Ford,CLE,RB,43,37,225,0
Najee Harris,PIT,RB,48,36,283,0
Josh Jacobs,GB,RB,43,36,342,1
Alexander Mattison,LV,RB,48,36,294,1
Joe Mixon,HOU,RB,52,36,309,1
David Montgomery,DET,RB,38,36,341,0
Austin Ekeler,WAS,RB,41,35,366,0
Kyren Williams,LAR,RB,40,34,182,2
Saquon Barkley,PHI,RB,43,33,278,2
Rhamondre Stevenson,NE,RB,41,33,168,1
James Cook,BUF,RB,38,32,258,2
J.K. Dobbins,LAC,RB,38,32,153,0
Tyjae Spears,TEN,RB,35,30,224,1
Samaje Perine,KC,RB,35,28,322,1
Jaleel McLaughlin,DEN,RB,27,24,76,2
Miles Sanders,CAR,RB,30,24,148,1
Antonio Gibson,NE,RB,29,23,206,0
Kareem Hunt,KC,RB,32,23,176,0
Zack Moss,CIN,RB,27,23,187,1
Devin Singletary,NYG,RB,24,21,119,0
Brian Robinson Jr.,WAS,RB,25,20,159,0
Braelon Allen,NYJ,RB,27,19,148,1
Derrick Henry,BAL,RB,22,19,193,2
Raheem Mostert,MIA,RB,23,19,161,0
Dare Ogunbowale,HOU,RB,28,19,198,1
Ty Johnson,BUF,RB,25,18,284,3
Jonathan Taylor,IND,RB,31,18,136,1
Ray Davis,BUF,RB,19,17,189,3
Emari Demercado,ARI,RB,20,16,104,0
Kenneth Gainwell,PHI,RB,22,16,116,0
Roschon Johnson,CHI,RB,20,16,104,0
Trey Sermon,IND,RB,19,16,99,0
Isaac Guerendo,SF,RB,16,15,152,0
Christian McCaffrey,SF,RB,19,15,146,0
Pierre Strong,CLE,RB,22,14,104,0
Cam Akers,2TM,RB,18,14,68,3
Tyler Allgeier,ATL,RB,13,13,88,0
Ezekiel Elliott,DAL,RB,15,12,69,0
D'Ernest Johnson,JAX,RB,19,12,96,0
Hunter Luepke,DAL,RB,16,12,111,0
Jordan Mims,NO,RB,18,12,71,0
Isiah Pacheco,KC,RB,16,12,79,0
Cordarrelle Patterson,PIT,RB,14,12,80,1
Chris Brooks,GB,RB,13,11,69,0
Michael Carter,ARI,RB,11,11,57,0
Tyler Goodson,IND,RB,15,11,61,1
Jordan Mason,SF,RB,14,11,91,0
Emanuel Wilson,GB,RB,14,11,48,1
Eric Gray,NYG,RB,11,10,82,0
Jamycal Hasty,NE,RB,12,10,59,1
Khalil Herbert,2TM,RB,11,10,25,0
Isaiah Davis,NYJ,RB,12,9,75,1
Jeremy McNichols,WAS,RB,12,9,27,0
Sean Tucker,TB,RB,12,9,109,1
Jamaal Williams,NO,RB,11,9,57,0
Tank Bigsby,JAX,RB,12,7,54,0
Blake Corum,LAR,RB,8,7,58,0
Carson Steele,KC,RB,11,7,26,0
Trey Benson,ARI,RB,6,6,59,0
Ty Chandler,MIN,RB,6,6,42,0
D'Onta Foreman,CLE,RB,8,6,54,0
Sincere McCormick,LV,RB,7,6,29,0
Zamir White,LV,RB,8,6,30,0
Nick Chubb,CLE,RB,11,5,31,1
Audric Estime,DEN,RB,5,5,27,0
Kendre Miller,NO,RB,8,5,33,0
Ronnie Rivers,LAR,RB,6,5,34,0
Kimani Vidal,LAC,RB,9,5,62,1
Will Shipley,PHI,RB,4,4,35,0
Tyler Badie,DEN,RB,3,3,-2,0
Jonathon Brooks,CAR,RB,3,3,23,0
DeeJay Dallas,ARI,RB,3,3,11,1
Gus Edwards,LAC,RB,5,3,6,0
Clyde Edwards-Helaire,NO,RB,5,3,24,0
Hassan Haskins,LAC,RB,3,3,49,1
Travis Homer,CHI,RB,3,3,11,0
